timestamp,product_name,quantity,price,customer_id
2024-01-15 08:12:00,Amul Milk 500ml,2,28,C001
2024-01-15 08:25:00,Parle-G Biscuit 250g,1,30,C002
2024-01-15 08:31:00,Coca Cola 250ml,2,20,C003
2024-01-15 08:45:00,Maggi Noodles 70g,3,14,C004
2024-01-15 09:02:00,Amul Milk 1L,1,54,C005
2024-01-15 09:15:00,Lays Classic Salted,2,20,C006
2024-01-15 09:22:00,Tata Salt 1kg,1,22,C007
2024-01-15 09:38:00,Dove Soap 75g,2,45,C008
2024-01-15 09:50:00,Britannia Good Day,1,30,C009
2024-01-15 10:05:00,Amul Milk 500ml,3,28,C010
2024-01-15 10:12:00,Surf Excel 500g,1,85,C011
2024-01-15 10:28:00,Pepsi 600ml,4,30,C012
2024-01-15 10:44:00,Maggi Noodles 70g,2,14,C013
2024-01-15 11:00:00,Amul Butter 100g,1,55,C014
2024-01-15 11:15:00,Red Label Tea 250g,1,115,C015
2024-01-15 11:30:00,Colgate Toothpaste 100g,1,55,C016
2024-01-15 11:45:00,Haldirams Bhujia 200g,2,80,C017
2024-01-15 12:00:00,Coca Cola 250ml,3,20,C018
2024-01-15 12:10:00,Amul Milk 500ml,2,28,C019
2024-01-15 12:25:00,Fortune Refined Oil 1L,1,140,C020
2024-01-15 12:40:00,Yippee Noodles 70g,2,15,C021
2024-01-15 13:05:00,Dettol Soap 75g,3,35,C022
2024-01-15 13:20:00,Lays Classic Salted,1,20,C023
2024-01-15 13:35:00,Sprite 500ml,2,30,C024
2024-01-15 14:00:00,Britannia Good Day,2,30,C025
2024-01-15 14:15:00,Amul Milk 500ml,1,28,C026
2024-01-15 14:30:00,Maggi Noodles 70g,4,14,C027
2024-01-15 14:45:00,Uncle Chips Spicy,3,20,C028
2024-01-15 15:00:00,Bru Coffee 50g,1,95,C029
2024-01-15 15:20:00,Amul Paneer 200g,1,85,C030
2024-01-15 15:40:00,Surf Excel 500g,2,85,C031
2024-01-15 16:00:00,Coca Cola 250ml,2,20,C032
2024-01-15 16:15:00,Amul Milk 500ml,2,28,C033
2024-01-15 16:30:00,Bourbons 100g,2,25,C034
2024-01-15 16:45:00,Tata Salt 1kg,2,22,C035
2024-01-15 17:00:00,Amul Milk 1L,2,54,C036
2024-01-15 17:10:00,Lays Classic Salted,3,20,C037
2024-01-15 17:20:00,Maggi Noodles 70g,2,14,C038
2024-01-15 17:35:00,Pepsi 600ml,3,30,C039
2024-01-15 17:50:00,Red Label Tea 250g,1,115,C040
2024-01-15 18:00:00,Amul Milk 500ml,4,28,C041
2024-01-15 18:05:00,Coca Cola 250ml,5,20,C042
2024-01-15 18:10:00,Maggi Noodles 70g,3,14,C043
2024-01-15 18:20:00,Amul Butter 100g,2,55,C044
2024-01-15 18:30:00,Fortune Refined Oil 1L,1,140,C045
2024-01-15 18:45:00,Haldirams Bhujia 200g,2,80,C046
2024-01-15 18:55:00,Sprite 500ml,3,30,C047
2024-01-15 19:00:00,Amul Milk 500ml,3,28,C048
2024-01-15 19:10:00,Britannia Good Day,2,30,C049
2024-01-15 19:20:00,Dove Soap 75g,1,45,C050
2024-01-15 19:30:00,Lays Classic Salted,2,20,C051
2024-01-15 19:45:00,Colgate Toothpaste 100g,2,55,C052
2024-01-15 20:00:00,Amul Milk 1L,1,54,C053
2024-01-15 20:15:00,Coca Cola 250ml,2,20,C054
2024-01-15 20:30:00,Aashirvaad Atta 5kg,1,280,C055
2024-01-15 20:45:00,Yippee Noodles 70g,3,15,C056
2024-01-15 21:00:00,Amul Milk 500ml,2,28,C057
2024-01-15 21:15:00,Maggi Noodles 70g,1,14,C058
